"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-01","0.0",",,S",,,"14.7","H,,S","21.6",",,S","9.2",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-02","0.0",",,S",,,"16.8","H,,S","22.6",",,S","9.7",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-03","0.0",",,S",,,"18.6","H,,S","25.6",",,S","12.4",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-04","0.0",",,S",,,"18.6","H,,S","26.2",",,S","12.9",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-05","0.0",",,S",,,"18.7","H,,S","26.2",",,S","13.5",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-06","0.0",",,S",,,"21.1","H,,S","25.1",",,S","13.5",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-07","0.0",",,S",,,"20.4","H,,S","27.8",",,S","12.9",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-08","0.0",",,S",,,"14.3","H,,S","27.8",",,S","9.0",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-09","0.0",",,S",,,"17.9","H,,S","23.9",",,S","9.0",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-10","0.0",",,S",,,"18.1","H,,S","23.9",",,S","11.0",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-11","1.0",",,S",,,"8.7","H,,S","23.1",",,S","7.3",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-12","0.3",",,S",,,"8.2","H,,S","12.6",",,S","4.5",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-13","0.0",",,S",,,"11.9","H,,S","17.1",",,S","4.5",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-14","0.0",",,S",,,"11.2","H,,S","17.1",",,S","5.2",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-15","0.0",",,S",,,"14.9","H,,S","20.1",",,S","9.3",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-16","1.5",",,S",,,"8.7","H,,S","20.1",",,S","7.0",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-17","0.0",",,S",,,"8.0","H,,S","12.8",",,S","6.8",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-18","0.5",",,S",,,"8.2","H,,S","9.7",",,S","7.0",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-19","0.5",",,S",,,"9.5","H,,S","11.6",",,S","6.9",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-20","0.0",",,S",,,"12.8","H,,S","15.8",",,S","7.1",",,S"
"CHM00059082","SHAOGUAN, CH","24.667","113.6","68.0","2020-01-21","0.0",",,S",,,"14.9","H,,S","19.0",",,S","9.7",",,S"
